org_id remap_id freebase_id
ydUqgWsF3F27TbauOyib0w 0 ydUqgWsF3F27TbauOyib0w
N2PlDjUJVfOJzsPzY0Au1w 1 N2PlDjUJVfOJzsPzY0Au1w
ghKN6NeyIBn9xxS0fO7SQQ 2 ghKN6NeyIBn9xxS0fO7SQQ
8jR1NYx1xPcz2_ocm1o8IA 3 8jR1NYx1xPcz2_ocm1o8IA
pOfQ5CnE8YxZeQNvf7WdkQ 4 pOfQ5CnE8YxZeQNvf7WdkQ
OnGPegQGuQ5_uuFLvezvKw 5 OnGPegQGuQ5_uuFLvezvKw
vOl8kApDeTWhbllKVaPPxg 6 vOl8kApDeTWhbllKVaPPxg
yY2fvUV7g5yAHIKcUfJqIA 7 yY2fvUV7g5yAHIKcUfJqIA
LpAdf_z1A9REhTQjr1B4cA 8 LpAdf_z1A9REhTQjr1B4cA
XXm8lwYNH9gQpKq1Xek_YQ 9 XXm8lwYNH9gQpKq1Xek_YQ
zKacC3jzdl9MJLkczFI6qg 10 zKacC3jzdl9MJLkczFI6qg
NbrXg59fYR3MoeXdeAIQIQ 11 NbrXg59fYR3MoeXdeAIQIQ
n9WOZlk5k868HXRVhKp5IQ 12 n9WOZlk5k868HXRVhKp5IQ
tshN5rYRrzanHu4ZiwCVrA 13 tshN5rYRrzanHu4ZiwCVrA
cwCLcQns_SSExsBCzWNQDA 14 cwCLcQns_SSExsBCzWNQDA
Ib3r1WJ00wd7OwEQM36RBw 15 Ib3r1WJ00wd7OwEQM36RBw
R5Io6cHT9CC7V5Bb95Vc2Q 16 R5Io6cHT9CC7V5Bb95Vc2Q
EzUZU_y0ooTGbboxFck1Pg 17 EzUZU_y0ooTGbboxFck1Pg
CAmPPSKoFCd8zo2bxRxRkA 18 CAmPPSKoFCd8zo2bxRxRkA
PeVgw94It7HBBLkIbOoAng 19 PeVgw94It7HBBLkIbOoAng
tI9k0Vqdx0EgNohUdSJCeg 20 tI9k0Vqdx0EgNohUdSJCeg
hAKkQPiGIj8o03_pUBY_dA 21 hAKkQPiGIj8o03_pUBY_dA
b42EKdSk61zd_FEqEwioYQ 22 b42EKdSk61zd_FEqEwioYQ
Ac52FTELfKifOWT4WOafpQ 23 Ac52FTELfKifOWT4WOafpQ
SBPttAVjzEnN3VE6sKiaMg 24 SBPttAVjzEnN3VE6sKiaMg
nh1StiltxvClOOkaSLuOEg 25 nh1StiltxvClOOkaSLuOEg
BkFO_ynqOVeLQHuye_9Fbg 26 BkFO_ynqOVeLQHuye_9Fbg
FuSnrnNotWiQ09TpsxBEFw 27 FuSnrnNotWiQ09TpsxBEFw
1wEexq5NrFK_YQgl6GG6ng 28 1wEexq5NrFK_YQgl6GG6ng
vBNM4NEBuO66Hk5yO797eA 29 vBNM4NEBuO66Hk5yO797eA
PTY4VZixWNcszvKlMVw9YQ 30 PTY4VZixWNcszvKlMVw9YQ
0XodaZxxFLObE4uUTQCYng 31 0XodaZxxFLObE4uUTQCYng
DmlsNnPOd_NZqaG1tr1c1w 32 DmlsNnPOd_NZqaG1tr1c1w
dchNeTQHfK4wP45gYkrJqw 33 dchNeTQHfK4wP45gYkrJqw
mLGv4EbVnvmheza_RH1jxg 34 mLGv4EbVnvmheza_RH1jxg
LLpqbZNVuAb425xxu2_Pyg 35 LLpqbZNVuAb425xxu2_Pyg
OF7CLTVXD5zvsi7TZ7gU0Q 36 OF7CLTVXD5zvsi7TZ7gU0Q
0Q5hLTlQr1HfyfLZc9Ozsw 37 0Q5hLTlQr1HfyfLZc9Ozsw
73dPwH6vfycfRjuM9PGnbg 38 73dPwH6vfycfRjuM9PGnbg
f4mh1Y0rnvbJRfQ3jPkqzQ 39 f4mh1Y0rnvbJRfQ3jPkqzQ
